Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_1024_1 Docs,dynamic_tinybert_q_a_1024_3 Docs,dynamic_tinybert_q_a_1024_5 Docs,dynamic_tinybert_q_a_1024_10 Docs,gpt2-medium_q_a_1024_gpt2-medium_q_a_1024_1 Docs,gpt2-medium_q_a_1024_gpt2-medium_q_a_1024_10 Docs,gpt2-medium_q_a_1024_gpt2-medium_q_a_1024_3 Docs,gpt2-medium_q_a_1024_gpt2-medium_q_a_1024_5 Docs,t5-base_q_a_1024_t5-base_q_a_1024_1 Docs,t5-base_q_a_1024_t5-base_q_a_1024_10 Docs,t5-base_q_a_1024_t5-base_q_a_1024_3 Docs,t5-base_q_a_1024_t5-base_q_a_1024_5 Docs
aa23-278a_chunk_6.txt,1024,What are the best ways for mitigating the risks associated with storing sensitive information in web applications,Principles and Approaches for Security-by-Design and -Default,Principles and Approaches for Security-by-Design and -Default,Principles and Approaches for Security-by-Design and -Default,Principles and Approaches for Security-by-Design and -Default,.g,.g,.g,.g,"Use memory-safe programming languages where possible, parametrized queries, and web template languages","Use memory-safe programming languages where possible, parametrized queries, and web template languages","Use memory-safe programming languages where possible, parametrized queries, and web template languages","Use memory-safe programming languages where possible, parametrized queries, and web template languages"
ar23-209a_chunk_3.txt,1024,What information can the attacker obtain from a BSMTP server by sending an encoded or encrypted input,print a message,print a message,print a message,print a message,us-cert.gov (anonymous) CISA encourages you,us-cert.gov (anonymous) CISA encourages you,us-cert.gov (anonymous) CISA encourages you,us-cert.gov (anonymous) CISA encourages you,"the malware has the capacity to accept encoded and encrypted inputs from 'bsmtpd', execute them, and print a message","the malware has the capacity to accept encoded and encrypted inputs from 'bsmtpd', execute them, and print a message","the malware has the capacity to accept encoded and encrypted inputs from 'bsmtpd', execute them, and print a message","the malware has the capacity to accept encoded and encrypted inputs from 'bsmtpd', execute them, and print a message"
icsa-24-074-11_chunk_1.txt,1024,What is the purpose of the provided CVEs and how can they be exploited,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,may allow an authenticated attacker to crash the SSL-VPN daemon,3.,3.,3.,3.,"3.2.14 IMPROPER INPUT VALIDATION CWE-787 A out-of-bounds write in Fortinet FortiOS version 7.2.0 through 7.2.3, FortiProxy version 7.2.0 through 7.2.1, FortiProxy version 7.0.0 through 7.0.7",CVE-2022-3486 has been assigned to this vulnerability. A CVSS v3 base score of 5.5 has been calculated.,CVE-2022-2503 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been assigned.,CVE-2022-2503 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been assigned.
home-network-security_chunk_2.txt,1024,What are some ways to secure the factory default settings on computer and software products,experimenting with your router placement and signal strength levels,experimenting with your router placement and signal strength levels,experimenting with your router placement and signal strength levels,experimenting with your router placement and signal strength levels,"such as viruses, worms","such as viruses, worms","such as viruses, worms","such as viruses, worms",True,True,True,True
aa23-325a_chunk_0.txt,1024,What is the purpose of providing the IOC and TLPs associated Lock Bit   3 0 in the joint cybersecurity advisory,CVE-2023-4966,CVE-2023-4966,CVE-2023-4966,CVE-2023-4966,variety of TTPs commonly associated,variety of TTPs commonly associated,variety of TTPs commonly associated,variety of TTPs commonly associated,"to disseminate IOCs obtained from FBI, ACSC, and voluntarily shared by Boeing","to disseminate IOCs obtained from FBI, ACSC, and voluntarily shared by Boeing","to disseminate IOCs obtained from FBI, ACSC, and voluntarily shared by Boeing","to disseminate IOCs obtained from FBI, ACSC, and voluntarily shared by Boeing"
icsa-24-074-11_chunk_2.txt,1024,What is the purpose of using external-control format strings in web pages,may allow a remote authenticated attacker to execute arbitrary code or commands,may allow a remote authenticated attacker to execute arbitrary code or commands,may allow a remote authenticated attacker to execute arbitrary code or commands,may allow a remote authenticated attacker to execute arbitrary code or commands,"0.0 through 7.0.11, 6.4","0.0 through 7.0.11, 6.4","0.0 through 7.0.11, 6.4","0.0 through 7.0.11, 6.4",IMPROPER INPUT VALIDATION,Microsoft Security Update Guide: MSHTML Remote Code Execution Vulnerability,IMPROPER INPUT VALIDATION,IMPROPER INPUT VALIDATION
aa23-278a_chunk_4.txt,1024,What are the best practices for mitigating default configurations on software applications,Default Credentials Change,Default Credentials Change,Default Credentials Change,Default Credentials Change,3-UBA].[40,3-UBA].[40,3-UBA].[40,3-UBA].[40,Mitigate Default Configurations of Software and Applications Misconfiguration,Mitigate Default Configurations of Software and Applications Misconfiguration,Mitigate Default Configurations of Software and Applications Misconfiguration,Mitigate Default Configurations of Software and Applications Misconfiguration
ar23-243a_chunk_0.txt,1024,What is the purpose of collecting and collATING information on active devices,It performs periodic scanning of files and network information for exfiltration,It performs periodic scanning of files and network information for exfiltration,It performs periodic scanning of files and network information for exfiltration,It performs periodic scanning of files and network information for exfiltration,2P network application (td,2P network application (td,2P network application (td,2P network application (td,"Infamous Chisel is a collection of components which enable persistent access to an infected Android device over the Tor network, and which periodically collates and exfiltrates victim information from compromised devices","Infamous Chisel is a collection of components which enable persistent access to an infected Android device over the Tor network, and which periodically collates and exfiltrates victim information from compromised devices","Infamous Chisel is a collection of components which enable persistent access to an infected Android device over the Tor network, and which periodically collates and exfiltrates victim information from compromised devices","Infamous Chisel is a collection of components which enable persistent access to an infected Android device over the Tor network, and which periodically collates and exfiltrates victim information from compromised devices"
icsa-24-046-15_chunk_7.txt,1024,"What is the value of ""2"" in ""name"" within the passage",dollar quoting,dollar quoting,dollar quoting,dollar quoting,2023-39417 has been assigned to this vulnerability,2023-39417 has been assigned to this vulnerability,2023-39417 has been assigned to this vulnerability,2023-39417 has been assigned to this vulnerability,255 bytes,255 bytes,255 bytes,255 bytes
icsa-24-046-11_chunk_11.txt,1024,What is the purpose of using `#cGO LDFLAG` when building a Go program,The go command may execute arbitrary code at build time,The go command may execute arbitrary code at build time,The go command may execute arbitrary code at build time,The go command may execute arbitrary code at build time,CWE-330 c-ares is an asynchronous resolver library,CWE-330 c-ares is an asynchronous resolver library,CWE-330 c-ares is an asynchronous resolver library,CWE-330 c-ares is an asynchronous resolver library,gccgo compiler,gccgo compiler,gccgo compiler,gccgo compiler
